slug,question,tags,end_date,n_trades,win_rate,total_pnl,sharpe,avg_spread,exit_reasons,error,skipped
dota2-xtreme-aur1-2026-03-10-game1-ends-in-daytime,Game 1: Ends in Daytime?,,2026-03-10T17:55:00+00:00,0,0.0000,0.000000,0.0000,0.9145,{},,spread=0.915>0.030
dota2-pari-ty-2026-03-10-game2-both-teams-destroy-barracks,Game 2: Both Teams Destroy Barracks?,,2026-03-10T12:00:00+00:00,0,0.0000,0.000000,0.0000,0.9275,{},,spread=0.928>0.030
dota2-pari-ty-2026-03-10-game1-both-teams-destroy-barracks,Game 1: Both Teams Destroy Barracks?,,2026-03-10T12:00:00+00:00,0,0.0000,0.000000,0.0000,0.9007,{},,spread=0.901>0.030
btc-updown-5m-1773177000,"Bitcoin Up or Down - March 10, 5:10PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0102,{},,
sol-updown-5m-1773177000,"Solana Up or Down - March 10, 5:10PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0189,{},,
eth-updown-5m-1773177000,"Ethereum Up or Down - March 10, 5:10PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0200,{},,
xrp-updown-5m-1773177000,"XRP Up or Down - March 10, 5:10PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0237,{},,
btc-updown-15m-1773176400,"Bitcoin Up or Down - March 10, 5:00PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0159,{},,
sol-updown-15m-1773176400,"Solana Up or Down - March 10, 5:00PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0200,{},,
eth-updown-15m-1773176400,"Ethereum Up or Down - March 10, 5:00PM-5:15PM ET",,2026-03-10T21:15:00+00:00,0,0.0000,0.000000,0.0000,0.0235,{},,
cwbb-nwst-utrgv-2026-03-10,Northwestern State Demons vs. Texas-Rio Grande Valley Vaqueros (W),,2026-03-10T16:00:00+00:00,0,0.0000,0.000000,0.0000,0.6423,{},,spread=0.642>0.030
cwbb-bcook-flam-2026-03-10,Bethune-Cookman Wildcats vs. Florida A&M Rattlers (W),,2026-03-10T15:00:00+00:00,0,0.0000,0.000000,0.0000,0.6331,{},,spread=0.633>0.030
cs2-hashir-nvq-2026-03-10-map-handicap-home-1pt5,Map Handicap: NVQ (-1.5) vs Hashiras (+1.5),,2026-03-10T21:10:00+00:00,0,0.0000,0.000000,0.0000,0.4539,{},,spread=0.454>0.030
cs2-hashir-nvq-2026-03-10-game2,Counter-Strike: Hashiras vs Team Novaq - Map 2 Winner,,2026-03-10T21:10:00+00:00,0,0.0000,0.000000,0.0000,0.3020,{},,spread=0.302>0.030
cs2-hashir-nvq-2026-03-10-game1,Counter-Strike: Hashiras vs Team Novaq - Map 1 Winner,,2026-03-10T21:10:00+00:00,0,0.0000,0.000000,0.0000,0.2787,{},,spread=0.279>0.030
cs2-hashir-nvq-2026-03-10,Counter-Strike: Hashiras vs Team Novaq (BO3) - NODWIN Clutch Series Play-In Grou,,2026-03-10T21:10:00+00:00,0,0.0000,0.000000,0.0000,0.2195,{},,spread=0.220>0.030
sol-updown-15m-1773173700,"Solana Up or Down - March 10, 4:15PM-4:30PM ET",,2026-03-10T20:30:00+00:00,0,0.0000,0.000000,0.0000,0.0236,{},,
